1.80E+01,2.51E-11
1.80E+01,2.54E-11
1.80E+01,2.58E-11
1.80E+01,2.63E-11
1.81E+01,2.58E-11
1.81E+01,2.65E-11
1.81E+01,2.69E-11
1.81E+01,2.67E-11
1.81E+01,2.69E-11
1.81E+01,2.78E-11
1.81E+01,2.77E-11
1.81E+01,2.76E-11
1.81E+01,2.83E-11
1.81E+01,2.92E-11
1.82E+01,2.85E-11
1.82E+01,2.93E-11
1.82E+01,2.94E-11
1.82E+01,2.95E-11
1.82E+01,2.99E-11
1.82E+01,3.04E-11
1.82E+01,3.08E-11
1.82E+01,3.14E-11
1.82E+01,3.15E-11
1.82E+01,3.18E-11
1.83E+01,3.17E-11
1.83E+01,3.24E-11
1.83E+01,3.27E-11
1.83E+01,3.36E-11
1.83E+01,3.28E-11
1.83E+01,3.38E-11
1.83E+01,3.45E-11
1.83E+01,3.49E-11
1.83E+01,3.49E-11
1.83E+01,3.52E-11
1.84E+01,3.50E-11
1.84E+01,3.66E-11
1.84E+01,3.64E-11
1.84E+01,3.68E-11
1.84E+01,3.71E-11
1.84E+01,3.76E-11
1.84E+01,3.83E-11
1.84E+01,3.84E-11
1.84E+01,3.90E-11
1.84E+01,3.93E-11
1.85E+01,3.97E-11
1.85E+01,4.05E-11
1.85E+01,4.04E-11
1.85E+01,4.11E-11
1.85E+01,4.11E-11
1.85E+01,4.26E-11
1.85E+01,4.24E-11
1.85E+01,4.30E-11
